LWLRANK,PLAYER,TEAM,NHLPOS,YPOS,ADP,ADPM,AUC,OWN,EPOS,EADP,EAUC,EOWN,INJ,DAY1AGE,ONG,AAV,CSHPCT,LYSHPCT,PDO,CIPP,LIPP,AEVTOI,APKTOI,APPTOI,ATOI,SHFG,CGP,CG,CA,CPTS,CSOG,3YGP,3YG,3YA,3YPTS,3YH,3YBS,3YFOW,3YSHG,3YSHA,P_G,P_A,P_PTS,P_SOG,P_H,P_BS,P_FOW,P_FOL,P_FOT,P_PIM,P_PPG,P_PPA,P_PPP,P_GWG,P_ATOI,P_PM,TFSI
523,Paul LaDue,LAK,D,D,0,,0,0,D,230,0,0,,27.1,28,825000,6.8,6.1,1003,36,31,13.05,0.1071,0.0641,13.2212,17.5454,67,6,15,21,89,33,5,7,12,127,62,0,0,0,6,16,22,84,127,62,0,0,0,30,0,0,0,1,13.2212,,68
524,Chris Wagner,BOS,R,"LW,RW",0,,0,0,"RW,C",229.5,0,0,,28.4,26,1250000,8.8,8.9,993,67,59,11.9553,1.4482,0.0491,13.4526,18.0657,250,10,6,16,108,66,10,7,17,253,46,143,1,0,11,10,21,137,234,46,71,87,158,46,0,1,1,2,13.3637,,68
525,Dalton Prout,SJS,D,D,0,,0,0,D,230,0,0,,29.6,27,800000,2.9,7.1,988,23,18,11.8958,1.1983,0.0217,13.1158,17.15,262,2,10,12,75,18,2,11,12,135,73,0,0,0,2,7,9,79,133,77,0,0,0,122,0,0,0,0,13.2611,,67.75
526,Riley Nash,CBJ,C,"C,LW",0,,0,0,"C,RW",229.8,0,0,,30.4,35,2750000,9.2,3.8,955,72,68,10.4701,0.2897,0.0799,10.8397,14.8333,477,10,16,26,105,78,9,16,24,79,51,309,0,1,8,15,23,98,75,55,163,199,362,23,1,0,1,1,13.0948,++,67.5
527,Sean Kuraly,BOS,C,"C,LW",0,,0,0,"C,LW",230.2,0,1,,26.7,26,1275000,5,6,1000,71,79,12.4066,1.308,0.0596,13.7742,18.3661,154,7,12,19,149,73,8,12,20,153,32,349,0,1,8,15,23,156,136,38,335,287,622,43,0,0,0,1,12.9906,,67.25
528,Trevor Lewis,LAK,C,"C,RW",0,,0,0,"C,RW",230,0,0,,32.8,28,2000000,5.8,3.4,965,69,67,12.4773,1.4462,0.0992,14.0227,19.5909,618,8,12,20,146,65,12,14,26,149,37,63,1,0,7,16,23,151,102,47,122,143,265,26,1,1,2,1,14.7585,,67.25
529,Dmitry Kulikov,WPG,D,D,0,,0,0,D,230,0,0,,29,33,4333333,4.3,0,1017,24,18,14.5436,1.0281,0.0918,15.6634,18.5964,626,4,17,21,100,55,2,8,11,107,109,0,0,0,3,11,14,72,109,102,0,0,0,49,0,1,1,0,16.3973,,66.75
530,Rasmus Andersson,CGY,D,D,0,,0,0,D,230,0,0,,23,28,755833,1.6,1.7,1026,,,14.6679,0.3694,1.0021,16.0394,20.7468,90,2,15,17,112,45,2,16,18,50,86,0,0,0,2,16,18,122,47,85,0,0,0,30,0,2,2,0,15.9719,--,66.75
531,Ryan Reaves,VGK,R,RW,152.1,,0,3,RW,229.8,0,1,,32.7,33,2775000,10.6,9.5,999,63,64,10.1442,0,0.7285,10.8727,13.2875,578,6,6,11,54,80,7,8,15,268,26,19,0,0,8,11,19,89,262,29,59,80,139,78,1,0,1,1,9.2445,,66.75
532,Greg Pateryn,MIN,D,D,0,,0,0,D,230,0,0,,29.3,26,2250000,1.4,1,978,31,18,15.3198,1.7623,0.0385,17.1206,20.9375,247,1,11,12,94,63,1,11,13,160,144,0,0,0,1,10,11,111,139,131,0,0,0,47,0,0,0,0,18.3112,++,66.5
