LWLRANK,PLAYER,TEAM,NHLPOS,YPOS,ADP,ADPM,AUC,OWN,EPOS,EADP,EAUC,EOWN,INJ,DAY1AGE,ONG,AAV,CSHPCT,LYSHPCT,PDO,CIPP,LIPP,AEVTOI,APKTOI,APPTOI,ATOI,SHFG,CGP,CG,CA,CPTS,CSOG,3YGP,3YG,3YA,3YPTS,3YH,3YBS,3YFOW,3YSHG,3YSHA,P_G,P_A,P_PTS,P_SOG,P_H,P_BS,P_FOW,P_FOL,P_FOT,P_PIM,P_PPG,P_PPA,P_PPP,P_GWG,P_ATOI,P_PM,TFSI
571,Jacob Larsson,ANA,D,D,0,,0,0,D,230,0,0,,22.4,46,894166,0,0,996,,,15.8357,1.234,0.0449,17.1146,23.7346,53,0,8,8,91,49,0,8,8,69,99,0,0,0,0,9,9,103,69,99,0,0,0,27,0,0,0,0,17.1146,,49.5
572,Nate Thompson,MTL,C,"C,RW",0,,0,0,C,229.5,0,0,,35,20,1000000,7.3,7,1001,54,33,10.9015,1.8323,0.2697,13.0034,19.7692,697,7,10,17,94,59,5,10,15,129,43,416,0,0,4,11,15,76,96,48,431,370,801,24,0,0,0,1,12.8927,,49
573,Max Jones,ANA,L,LW,0,,0,0,LW,230,0,0,,21.6,46,863333,3.4,3.4,1008,,,11.7706,0.7639,0.64,13.1744,18.3,30,5,8,14,159,30,5,8,14,82,14,3,0,0,6,10,16,175,82,14,3,6,9,38,0,3,3,1,13.1744,,49
574,Markus Hannikainen,CBJ,L,"LW,RW",0,,0,0,LW,230,0,0,,26.6,35,750000,8.5,7.7,961,66,78,9.2526,0.1633,0.0621,9.478,13.6136,91,7,6,14,85,39,7,6,14,100,24,3,0,1,9,10,19,103,100,25,0,0,0,14,0,0,0,1,9.0041,,48.75
575,Yannick Weber,NSH,D,D,0,,0,0,D,229.7,0,0,,31.1,20,675000,4.6,3,1016,26,29,11.4952,0.3444,0.0737,11.9132,16.758,456,5,12,16,107,61,2,7,9,82,54,0,0,0,4,10,14,91,79,50,0,0,0,28,0,0,0,1,11.9754,,48.5
576,Haydn Fleury,CAR,D,D,0,,0,0,D,231.5,0,1,,23.3,28,850000,0,0,1012,14,6,12.1483,0.3433,0.0417,12.5333,17,87,0,8,8,97,44,0,8,8,104,108,0,0,0,0,10,10,95,95,94,0,0,0,17,0,0,0,0,15.8153,,47.75
577,Sammy Blais,STL,L,"LW,RW",0,,0,0,"LW,RW",230.1,0,0,,23.3,32,850000,8.3,7.4,987,45,39,9.6583,0,0.1948,9.8531,13.4062,43,6,8,13,69,32,5,5,10,238,31,3,0,0,7,9,16,74,238,31,3,3,6,15,0,0,0,1,9.8531,,44.5
578,Kristian Vesalainen,WPG,L,"LW,RW",0,,0,0,"LW,RW",231.3,0,1,,20.4,33,894167,0,0,1008,,,6.78,0,0.06,6.84,10,5,0,16,16,16,5,0,16,16,16,16,0,0,0,0,20,20,18,16,16,0,0,0,0,0,0,0,0,6.84,,44
579,Nic Petan,TOR,C,"LW,RW",0,,0,0,"C,LW,RW",230.2,0,0,,24.6,27,775000,5.3,6.7,873,53,22,7.1602,0.0083,0.4676,7.6361,10.7222,113,4,13,17,82,17,7,5,12,15,20,57,0,0,4,10,14,89,18,23,67,79,146,24,0,0,0,1,7.9894,,40.75
580,Connor Clifton,BOS,D,D,0,,0,0,D,230,0,0,,24.5,26,725000,0,0,1028,,,17.0167,0.6395,0.0491,17.7053,23.8947,19,0,4,4,95,19,0,4,4,173,56,0,0,0,0,5,5,101,173,56,0,0,0,65,0,0,0,0,17.7053,,40.25
581,Colby Cave,EDM,C,C,0,,0,0,C,230,0,0,,24.8,42,675000,5,5.2,976,,,10.8925,0.9629,0.4575,12.3129,17.1509,56,4,7,12,88,53,5,8,12,113,28,309,0,0,4,8,12,95,113,28,309,308,617,25,0,0,0,1,12.3129,,38.25
582,Philippe Myers,PHI,D,D,0,,0,0,D,230,0,0,,22.7,29,678889,4,4,961,,,14.5317,0.7222,0.1127,15.3667,19.4761,21,4,4,8,98,21,4,4,8,164,31,0,0,0,5,5,10,106,164,31,0,0,0,8,0,0,0,1,15.3667,,30.75
583,Dylan Gambrell,SJS,C,C,0,,0,0,C,230,0,0,,23.1,27,700000,0,0,1048,,,8.2542,0.3437,0.0313,8.6292,12.25,11,0,0,0,52,8,0,0,0,133,10,205,0,0,0,0,0,67,133,10,205,195,400,21,0,0,0,0,8.6292,,7.75
